Ex-Showroom_Price,Fuel_Type,Length,Width,ARAI_Certified_Mileage,Gears,Ground_Clearance,Power,Torque,Seating_Capacity,Model
"Rs. 7,90,900",Diesel,3954 mm,1737 mm,24.4 km/litre,5,190 mm,100PS@3750RPM,215Nm@1750-3000RPM,5,Freestyle
"Rs. 8,36,400",Diesel,3954 mm,1737 mm,24.4 km/litre,5,190 mm,100PS@3750RPM,215Nm@1750-3000RPM,5,Freestyle
"Rs. 5,91,400",Petrol,3954 mm,1737 mm,19 km/litre,5,190 mm,96PS@6500rpm,120Nm@4250rpm,5,Freestyle
"Rs. 7,21,400",Petrol,3954 mm,1737 mm,19 km/litre,5,190 mm,96PS@6500rpm,120Nm@4250rpm,5,Freestyle
"Rs. 7,56,400",Petrol,3954 mm,1737 mm,19 km/litre,5,190 mm,96PS@6500rpm,120Nm@4250rpm,5,Freestyle
"Rs. 6,81,400",Petrol,3954 mm,1737 mm,19 km/litre,5,190 mm,96PS@6500rpm,120Nm@4250rpm,5,Freestyle
"Rs. 7,45,900",Diesel,3954 mm,1737 mm,24.4 km/litre,5,190 mm,100PS@3750RPM,215Nm@1750-3000RPM,5,Freestyle
"Rs. 7,11,500",Diesel,3995 mm,1682 mm,21.66 km/litre,,165 mm,110PS@4400rpm,250Nm@1500-2500rpm,5,Ameo
"Rs. 8,10,500",Diesel,3995 mm,1682 mm,21.66 km/litre,,165 mm,110PS@4400rpm,250Nm@1500-2500rpm,5,Ameo
"Rs. 9,99,900",Diesel,3995 mm,1682 mm,21.73 km/litre,7,165 mm,110PS@4400rpm,250Nm@1500-2500rpm,5,Ameo
"Rs. 9,25,500",Diesel,3995 mm,1682 mm,21.66 km/litre,,165 mm,110PS@4400rpm,250Nm@1500-2500rpm,5,Ameo
"Rs. 5,94,000",Petrol,3995 mm,1682 mm,19 km/litre,5,165 mm,76PS@6200RPM,95Nm@3000-4300rpm,5,Ameo
"Rs. 6,65,000",Petrol,3995 mm,1682 mm,19 km/litre,5,165 mm,76PS@6200RPM,95Nm@3000-4300rpm,5,Ameo
"Rs. 7,99,900",Petrol,3995 mm,1682 mm,19 km/litre,5,165 mm,76PS@6200RPM,95Nm@3000-4300rpm,5,Ameo
"Rs. 9,99,900",Diesel,3995 mm,1682 mm,21.73 km/litre,7,165 mm,110PS@4400rpm,250Nm@1500-2500rpm,5,Ameo
"Rs. 5,98,500",Petrol,3995 mm,1704 mm,20.4 km/litre,5,,96PS@6500rpm,120Nm@4250rpm,5,Aspire
"Rs. 6,97,400",Petrol,3995 mm,1704 mm,20.4 km/litre,5,,96PS@6500rpm,120Nm@4250rpm,5,Aspire
"Rs. 6,63,400",Petrol,3995 mm,1704 mm,20.4 km/litre,5,,96PS@6500rpm,120Nm@4250rpm,5,Aspire
"Rs. 6,99,400",Diesel,3995 mm,1704 mm,26.1 km/litre,5,,100PS@3750RPM,215Nm@1750-3000RPM,5,Aspire
"Rs. 7,37,400",Diesel,3995 mm,1704 mm,26.1 km/litre,5,,100PS@3750RPM,215Nm@1750-3000RPM,5,Aspire
