Displacement,Cylinders,Valves_Per_Cylinder,Cylinder_Configuration,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Emission_Norm,Start_/_Stop_Button,ARAI_Certified_Mileage
1199 cc,4,4,In-line,Injection,40 litres,Petrol,BS IV,Yes,19 km/litre
1498 cc,4,4,In-line,Injection,40 litres,Diesel,BS IV,,27.3 km/litre
1498 cc,4,4,In-line,Injection,40 litres,Diesel,BS IV,Yes,27.3 km/litre
1498 cc,4,4,In-line,Injection,40 litres,Diesel,BS IV,Yes,27.3 km/litre
1199 cc,4,4,In-line,Injection,40 litres,Petrol,BS IV,Yes,18.2 km/litre
1956 cc,4,4,In-line,Injection,60 litres,Diesel,BS 6,Yes,16.3 km/litre
1956 cc,4,4,In-line,Injection,60 litres,Diesel,BS 6,Yes,16.3 km/litre
2999 cc,4,4,In-line,Injection,76 litres,Diesel,BS IV,Yes,13.8 km/litre
2999 cc,4,4,In-line,Injection,76 litres,Diesel,BS IV,Yes,13.8 km/litre
2157 cc,4,,In-line,Injection,70 litres,Diesel,BS IV,Yes,12.35 km/litre
2157 cc,4,4,In-line,Injection,70 litres,Diesel,,Yes,12.05 km/litre
1968 cc,4,,In-line,Injection,71 litres,Diesel,BS IV,,17.06 km/litre
1968 cc,4,,In-line,Injection,71 litres,Diesel,BS IV,Yes,17.06 km/litre
1997 cc,4,,In-line,Injection,57 litres,Petrol,,Yes,14.4 km/litre
1597 cc,,4,In-line,Injection,57 litres,Diesel,BS IV,Yes,19.5 km/litre
1597 cc,,4,In-line,Injection,57 litres,Diesel,BS IV,Yes,18.3 km/litre
1798 cc,4,4,In-line,Injection,66 litres,Petrol,BS IV,Yes,13.7 km/litre
1968 cc,4,4,In-line,Injection,66 litres,Diesel,BS IV,Yes,18.19 km/litre
1968 cc,4,4,In-line,Injection,50 litres,Diesel,BS IV,Yes,20.38 km/litre
1968 cc,4,4,In-line,Injection,50 litres,Diesel,BS IV,Yes,20.38 km/litre
1395 cc,4,4,In-line,Injection,50 litres,Petrol,BS IV,Yes,19.2 km/litre
1395 cc,4,4,In-line,Injection,50 litres,Petrol,BS IV,Yes,19.2 km/litre
1595 cc,4,4,In-line,Injection,50 litres,Petrol,BS IV,Yes,14.81 km/litre
2143 cc,4,4,In-line,Injection,50 litres,Diesel,BS IV,Yes,15 km/litre
1595 cc,4,4,In-line,Injection,50 litres,Petrol,BS IV,Yes,14.81 km/litre
2143 cc,4,4,In-line,Injection,50 litres,Diesel,BS IV,Yes,15 km/litre
1991 cc,4,4,In-line,Injection,56 litres,Petrol,BS IV,Yes,15.04 km/litre
2143 cc,4,4,In-line,Injection,56 litres,Diesel,BS IV,Yes,17.9 km/litre
2143 cc,4,4,In-line,Injection,56 litres,Diesel,BS IV,Yes,17.9 km/litre
1968 cc,4,4,In-line,Injection,66 litres,Diesel,BS IV,Yes,18.19 km/litre
1968 cc,4,4,In-line,Injection,66 litres,Diesel,BS IV,Yes,18.19 km/litre
1968 cc,4,4,In-line,Injection,66 litres,Diesel,BS IV,Yes,18.19 km/litre
2000 cc,4,4,In-line,Injection,60 litres,Petrol,BS IV,Yes,10 km/litre
1968 cc,4,4,In-line,Injection,64 litres,Diesel,BS IV,Yes,15.73 km/litre
1968 cc,4,4,In-line,Injection,64 litres,Diesel,BS IV,Yes,15.73 km/litre
1968 cc,4,4,In-line,Injection,64 litres,Diesel,BS IV,Yes,15.73 km/litre
1395 cc,4,4,In-line,Injection,64 litres,Petrol,BS IV,Yes,16.9 km/litre
1496 cc,3,4,In-line,Injection,44 litres,Petrol,BS IV,,21.15 km/litre
1998 cc,4,4,In-line,Injection,44 litres,Petrol,BS IV,Yes,14.59 km/litre
1969 cc,5,4,In-line,Injection,,Diesel,BS IV,Yes,
1969 cc,5,4,In-line,Injection,,Diesel,BS IV,Yes,
1969 cc,5,4,In-line,Injection,54 litres,Petrol,BS 6,Yes,
1998 cc,4,4,In-line,Injection,,Petrol,BS IV,Yes,13.8 km/litre
1395 cc,4,4,In-line,Injection,54 litres,Petrol,BS IV,Yes,
1395 cc,4,4,In-line,Injection,54 litres,Petrol,BS IV,Yes,
1998 cc,4,4,In-line,Injection,44 litres,Petrol,BS 6,Yes,16.47 km/litre
1997 cc,4,4,In-line,Injection,61 litres,Petrol,BS 6,Yes,11 km/litre
1999 cc,4,4,In-line,Injection,56 litres,Diesel,BS 6,Yes,11 km/litre
1999 cc,4,4,In-line,Injection,56 litres,Diesel,BS 6,Yes,11 km/litre
1997 cc,4,4,In-line,Injection,61 litres,Petrol,BS 6,Yes,11 km/litre
1999 cc,4,4,V,Injection,74 litres,Petrol,BS IV,Yes,13.12 km/litre
1999 cc,4,4,V,Injection,82 litres,Petrol,BS IV,Yes,13.12 km/litre
1999 cc,4,4,V,Injection,83 litres,Diesel,BS IV,Yes,19.33 km/litre
1999 cc,4,4,V,Injection,66 litres,Diesel,BS IV,Yes,19.33 km/litre
1999 cc,4,4,V,Injection,66 litres,Diesel,BS IV,Yes,19.33 km/litre
1395 cc,4,4,In-line,Injection,50 litres,Petrol,BS IV,Yes,19.2 km/litre
1984 cc,4,16,In-line,Injection,73 litres,Petrol,BS 6,Yes,14.11 km/litre
1984 cc,4,16,In-line,Injection,73 litres,Petrol,BS 6,Yes,14.11 km/litre
1995 cc,4,4,In-line,Injection,67 litres,Diesel,BS IV,Yes,18.56 km/litre
1998 cc,4,4,In-line,Injection,67 litres,Petrol,BS IV,Yes,18.56 km/litre
1995 cc,4,4,In-line,Injection,67 litres,Diesel,BS IV,Yes,18.56 km/litre
1999 cc,4,4,In-line,Injection,70 litres,Diesel,BS 6,Yes,
1999 cc,4,4,In-line,Injection,70 litres,Diesel,BS 6,Yes,
1969 cc,4,4,In-line,Injection,,Diesel,BS IV,Yes,
2995 cc,6,4,V,Injection,58 litres,Petrol,BS IV,Yes,13.57 km/litre
2993 cc,6,4,In-line,Injection,,Diesel,BS IV,Yes,13.38 km/litre
2993 cc,6,4,In-line,Injection,,Diesel,BS IV,Yes,13.38 km/litre
2998 cc,6,4,In-line,Injection,,Petrol,BS IV,Yes,11.24 km/litre
4951 cc,8,4,V,Injection,60.9 litres,Petrol,BS IV,Yes,13 km/litre
2987 cc,6,4,V,Injection,93.5 litres,Diesel,BS IV,Yes,12.8 km/litre
2987 cc,6,,V,Injection,93.5 litres,Diesel,BS IV,Yes,12.8 km/litre
6417 cc,8,4,V,Injection,93.5 litres,Petrol,BS IV,Yes,12.8 km/litre
3604 cc,6,,V,Injection,93.5 litres,Petrol,BS IV,Yes,8.61 km/litre
2996 cc,6,4,V,Injection,80 litres,Petrol,BS IV,Yes,10 km/litre
2979 cc,6,4,In-line,Injection,52 litres,Petrol,BS 6,Yes,9.8-10.0 km/litre
1988 cc,4,4,Flat,Injection,54 litres,Petrol,BS IV,Yes,7.4 km/litre
1988 cc,4,4,Flat,Injection,54 litres,Petrol,BS IV,Yes,7.4 km/litre
2987 cc,6,4,V,Injection,100 litres,Diesel,BS IV,,11.6 km/litre
5461 cc,8,4,V,Injection,80 litres,Petrol,BS IV,,12 km/litre
2996 cc,8,4,V,Injection,80 litres,Petrol,BS IV,Yes,12 km/litre
2996 cc,8,4,V,Injection,80 litres,Petrol,BS IV,Yes,12 km/litre
2987 cc,6,4,V,Injection,100 litres,Diesel,BS IV,,11.6 km/litre
2982 cc,4,4,In-line,Injection,87 litres,Diesel,BS IV,Yes,11.13 km/litre
3456 cc,6,4,V,Injection,65 litres,Petrol,BS IV,Yes,18 km/litre
2894 cc,8,4,In-line,Injection,58 litres,Petrol,BS IV,Yes,10.8 km/litre
2993 cc,6,4,V,Injection,78 litres,Diesel,BS 6,Yes,17.66 km/litre
2993 cc,6,4,V,Injection,78 litres,Diesel,BS 6,Yes,17.66 km/litre
2993 cc,6,4,V,Injection,78 litres,Diesel,BS 6,Yes,17.66 km/litre
