Automatic_Headlamps,ESP_(Electronic_Stability_Program),Number_of_Airbags,Gear_Shift_Reminder,Fasten_Seat_Belt_Warning,Door_Ajar_Warning,ABS_(Anti-lock_Braking_System),Passenger_Side_Seat-Belt_Reminder,High_Speed_Alert_System,Low_Fuel_Warning,Engine_Malfunction_Light,Child_Safety_Locks,Central_Locking,Ex-Showroom_Price,ARAI_Certified_Mileage,Power,Torque
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,76,103",22.54 km/litre,90PS@4000rpm,220Nm@1500rpm
Yes,,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,08,993",18.15 km/litre,84PS@6000rpm,114Nm@4000rpm
Yes,,6,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 9,34,003",22.54 km/litre,90PS@4000rpm,220Nm@1500-2750rpm
Yes,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,"Rs. 9,20,993",18.6 km/litre,83PS@6000rpm,115Nm@4000rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,51,693",18.6 km/litre,84PS@6000rpm,115Nm@4000rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,31,693",18.6 km/litre,84PS@6000rpm,115Nm@4000rpm
,,2,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,46,103",22.54 km/litre,90PS@4000rpm,220Nm@1500rpm
,,2,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,"Rs. 5,79,900",20.5 km/litre,83PS@6000rpm,114Nm@4000rpm
,,2,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 6,55,900",20.5 km/litre,83PS@6000rpm,114Nm@4000rpm
,,2,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 7,05,800",20.1 km/litre,83PS@6000rpm,114Nm@4000rpm
,,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 7,29,900",20.5 km/litre,83PS@6000rpm,114Nm@4000rpm
,,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 8,04,800",20.1 km/litre,83PS@6000rpm,114Nm@4000rpm
,,2,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 7,85,900",20.5 km/litre,83PS@6000rpm,114Nm@4000rpm
,,2,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 7,28,900",20.5 km/litre,69PS@6000rpm,95Nm@4000rpm
,,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 8,54,900",20.5 km/litre,100PS@6000rpm,172Nm@1500-4000rpm
,,2,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 7,73,800",25.35 km/litre,75PS@4000rpm,190NM@1750-2250RPM
,,2,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 8,23,700",20.4 km/litre,75PS@4000rpm,190NM@1750-2250RPM
,,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 9,22,700",25.4 km/litre,75PS@4000rpm,190NM@1750-2250RPM
,,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 9,03,800",25.35 km/litre,75PS@4000rpm,190NM@1750-2250RPM
,,2,,Yes,Yes,,,,Yes,Yes,Yes,Yes,"Rs. 5,82,000",18.78 km/litre,76PS@6200RPM,95Nm@3000-4300rpm
,,2,,Yes,,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,76,500",18.78 km/litre,76PS@6200RPM,95Nm@3000-4300rpm
,,2,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 7,76,500",18.78 km/litre,76PS@6200RPM,95Nm@3000-4300rpm
,,2,,Yes,Yes,,,,Yes,Yes,Yes,Yes,"Rs. 7,34,500",20.14 km/litre,90PS@4200rpm,230Nm@1500-2500rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,51,500",20.14 km/litre,90PS@4200rpm,230Nm@1500-2500rpm
,,2,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Rs. 9,31,500",20.14 km/litre,90PS@4200rpm,230Nm@1500-2500rpm
,Yes,2,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,"Rs. 9,76,000",17.21 km/litre,105PS@5000rpm,175Nm@1500-4100rpm
,,2,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,"Rs. 9,88,500",19.91 km/litre,110PS@4400rpm,250Nm@1500-2500rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,,"Rs. 5,82,613",22 km/litre,84.3PS@6000rpm,115Nm@4000rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,73,112",22 km/litre,84.3PS@6000rpm,115Nm@4000rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 6,66,622",28.4 km/litre,75PS@4000rpm,190Nm@2000rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,32,113",22 km/litre,84.3PS@6000rpm,115Nm@4000rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,57,622",28.4 km/litre,75PS@4000rpm,190Nm@2000rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,20,112",22 km/litre,84.3PS@6000rpm,115Nm@4000rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,63,122",28.4 km/litre,75PS@4000rpm,190Nm@2000rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,16,622",28.4 km/litre,75PS@4000rpm,190Nm@2000rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,21,613",22 km/litre,84.3PS@6000rpm,115Nm@4000rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,79,113",22 km/litre,84.3PS@6000rpm,115Nm@4000rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,68,613",22 km/litre,84.3PS@6000rpm,115Nm@4000rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 9,06,122",28.4 km/litre,75PS@4000rpm,190Nm@2000rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,04,622",28.4 km/litre,75PS@4000rpm,190Nm@2000rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 9,52,622",28.4 km/litre,75PS@4000rpm,190Nm@2000rpm
,,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,,"Rs. 6,76,400",24.4 km/litre,100PS@3750RPM,215Nm@1750-3000RPM
,Yes,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,90,900",24.4 km/litre,100PS@3750RPM,215Nm@1750-3000RPM
Yes,Yes,6,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 8,36,400",24.4 km/litre,100PS@3750RPM,215Nm@1750-3000RPM
,,2,,,Yes,,,,Yes,Yes,Yes,,"Rs. 5,91,400",19 km/litre,96PS@6500rpm,120Nm@4250rpm
,Yes,2,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,"Rs. 7,21,400",19 km/litre,96PS@6500rpm,120Nm@4250rpm
