Torque,Power,ARAI_Certified_Mileage,Ex-Showroom_Price
190NM@1750-2250RPM,75PS@4000rpm,20.4 km/litre,"Rs. 8,23,700"
190NM@1750-2250RPM,75PS@4000rpm,25.4 km/litre,"Rs. 9,22,700"
190NM@1750-2250RPM,75PS@4000rpm,25.35 km/litre,"Rs. 9,03,800"
95Nm@3000-4300rpm,76PS@6200RPM,18.78 km/litre,"Rs. 5,82,000"
95Nm@3000-4300rpm,76PS@6200RPM,18.78 km/litre,"Rs. 6,76,500"
95Nm@3000-4300rpm,76PS@6200RPM,18.78 km/litre,"Rs. 7,76,500"
230Nm@1500-2500rpm,90PS@4200rpm,20.14 km/litre,"Rs. 7,34,500"
230Nm@1500-2500rpm,90PS@4200rpm,20.14 km/litre,"Rs. 8,51,500"
230Nm@1500-2500rpm,90PS@4200rpm,20.14 km/litre,"Rs. 9,31,500"
175Nm@1500-4100rpm,105PS@5000rpm,17.21 km/litre,"Rs. 9,76,000"
250Nm@1500-2500rpm,110PS@4400rpm,19.91 km/litre,"Rs. 9,88,500"
115Nm@4000rpm,84.3PS@6000rpm,22 km/litre,"Rs. 5,82,613"
115Nm@4000rpm,84.3PS@6000rpm,22 km/litre,"Rs. 6,73,112"
190Nm@2000rpm,75PS@4000rpm,28.4 km/litre,"Rs. 6,66,622"
115Nm@4000rpm,84.3PS@6000rpm,22 km/litre,"Rs. 7,32,113"
190Nm@2000rpm,75PS@4000rpm,28.4 km/litre,"Rs. 7,57,622"
115Nm@4000rpm,84.3PS@6000rpm,22 km/litre,"Rs. 7,20,112"
190Nm@2000rpm,75PS@4000rpm,28.4 km/litre,"Rs. 8,63,122"
190Nm@2000rpm,75PS@4000rpm,28.4 km/litre,"Rs. 8,16,622"
115Nm@4000rpm,84.3PS@6000rpm,22 km/litre,"Rs. 8,21,613"
115Nm@4000rpm,84.3PS@6000rpm,22 km/litre,"Rs. 7,79,113"
115Nm@4000rpm,84.3PS@6000rpm,22 km/litre,"Rs. 8,68,613"
190Nm@2000rpm,75PS@4000rpm,28.4 km/litre,"Rs. 9,06,122"
190Nm@2000rpm,75PS@4000rpm,28.4 km/litre,"Rs. 8,04,622"
190Nm@2000rpm,75PS@4000rpm,28.4 km/litre,"Rs. 9,52,622"
215Nm@1750-3000RPM,100PS@3750RPM,24.4 km/litre,"Rs. 6,76,400"
215Nm@1750-3000RPM,100PS@3750RPM,24.4 km/litre,"Rs. 7,90,900"
215Nm@1750-3000RPM,100PS@3750RPM,24.4 km/litre,"Rs. 8,36,400"
120Nm@4250rpm,96PS@6500rpm,19 km/litre,"Rs. 5,91,400"
120Nm@4250rpm,96PS@6500rpm,19 km/litre,"Rs. 7,21,400"
120Nm@4250rpm,96PS@6500rpm,19 km/litre,"Rs. 7,56,400"
120Nm@4250rpm,96PS@6500rpm,19 km/litre,"Rs. 6,81,400"
215Nm@1750-3000RPM,100PS@3750RPM,24.4 km/litre,"Rs. 7,45,900"
250Nm@1500-2500rpm,110PS@4400rpm,21.66 km/litre,"Rs. 7,11,500"
250Nm@1500-2500rpm,110PS@4400rpm,21.66 km/litre,"Rs. 8,10,500"
250Nm@1500-2500rpm,110PS@4400rpm,21.73 km/litre,"Rs. 9,99,900"
250Nm@1500-2500rpm,110PS@4400rpm,21.66 km/litre,"Rs. 9,25,500"
95Nm@3000-4300rpm,76PS@6200RPM,19 km/litre,"Rs. 5,94,000"
95Nm@3000-4300rpm,76PS@6200RPM,19 km/litre,"Rs. 6,65,000"
95Nm@3000-4300rpm,76PS@6200RPM,19 km/litre,"Rs. 7,99,900"
250Nm@1500-2500rpm,110PS@4400rpm,21.73 km/litre,"Rs. 9,99,900"
120Nm@4250rpm,96PS@6500rpm,20.4 km/litre,"Rs. 5,98,500"
120Nm@4250rpm,96PS@6500rpm,20.4 km/litre,"Rs. 6,97,400"
120Nm@4250rpm,96PS@6500rpm,20.4 km/litre,"Rs. 6,63,400"
215Nm@1750-3000RPM,100PS@3750RPM,26.1 km/litre,"Rs. 6,99,400"
215Nm@1750-3000RPM,100PS@3750RPM,26.1 km/litre,"Rs. 7,37,400"
215Nm@1750-3000RPM,100PS@3750RPM,26.1 km/litre,"Rs. 7,77,400"
215Nm@1750-3000RPM,100PS@3750RPM,26.1 km/litre,"Rs. 8,17,400"
215Nm@1750-3000RPM,100PS@3700RPM,26.1 km/litre,"Rs. 8,62,400"
120Nm@4250rpm,96PS@6500rpm,19.4 km/litre,"Rs. 7,82,400"
120Nm@4250rpm,96PS@6500rpm,19.4 km/litre,"Rs. 7,37,400"
120Nm@4250rpm,96PS@6300rpm,,"Rs. 7,58,314"
120Nm@4250rpm,96PS@6500rpm,19.4 km/litre,"Rs. 7,62,400"
215Nm@1750-3000RPM,100PS@3750RPM,26.1 km/litre,"Rs. 8,42,400"
132Nm@3000rpm,90PS@5600rpm,16.78 km/litre,"Rs. 6,27,100"
132Nm@3000rpm,90PS@5600rpm,16.78 km/litre,"Rs. 7,18,600"
170Nm@1800-2400rpm,68PS@3800rpm,23.59 km/litre,"Rs. 7,34,700"
170Nm@1800-2400rpm,68PS@3800rpm,23.59 km/litre,"Rs. 8,28,600"
170Nm@1800-2400rpm,68PS@3800rpm,23.59 km/litre,"Rs. 8,88,400"
132Nm@3000rpm,90PS@5600rpm,16.78 km/litre,"Rs. 7,78,400"
132Nm@3000rpm,90PS@5600rpm,16.78 km/litre,"Rs. 6,89,600"
170Nm@1800-2400rpm,68PS@3800rpm,23.59 km/litre,"Rs. 7,99,600"
170Nm@1800-2400rpm,68PS@3800rpm,23.59 km/litre,"Rs. 9,13,400"
132Nm@3000rpm,90PS@5600rpm,16.78 km/litre,"Rs. 8,03,400"
132Nm@3000rpm,90PS@5600rpm,16.78 km/litre,"Rs. 8,02,000"
104Nm@3100rpm,80PS@5600rpm,17.71 km/litre,"Rs. 6,50,000"
170Nm@1800-2400rpm,68PS@3800rpm,23.59 km/litre,"Rs. 7,97,500"
170Nm@1800-2400rpm,68PS@3800rpm,23.59 km/litre,"Rs. 7,66,000"
104Nm@3100rpm,80PS@5600rpm,17.71 km/litre,"Rs. 6,68,500"
170Nm@1800-2400rpm,68PS@3800rpm,23.59 km/litre,"Rs. 8,16,000"
160Nm@2000rpm,65PS@4000rpm,20.08 km/litre,"Rs. 6,57,628"
160Nm@2000rpm,65PS@4000rpm,20.08 km/litre,"Rs. 6,85,729"
160Nm@2000rpm,65PS@4000rpm,20.08 km/litre,"Rs. 7,50,428"
209Nm@2000rpm,93PS@4000RPM,20 km/litre,"Rs. 6,77,618"
209Nm@2000rpm,93PS@4000RPM,20 km/litre,"Rs. 7,39,074"
210Nm@2000-4000RPM,140ps@5500rpm,17.1 km/litre,"Rs. 9,77,516"
209Nm@2000rpm,93PS@4000RPM,20 km/litre,"Rs. 8,10,211"
113Nm@4400 rpm,89PS@6000 rpm,23.87 km/litre,"Rs. 7,21,900"
113Nm@4200 rpm,82PS@6000 rpm,21.01 km/litre,"Rs. 7,58,200"
113Nm@4200 rpm,82PS@6000 rpm,19.56 km/litre,"Rs. 8,29,900"
113Nm@4200 rpm,82PS@6000 rpm,19.56 km/litre,"Rs. 8,90,200"
113Nm@4200 rpm,82PS@6000 rpm,19.56 km/litre,"Rs. 6,97,900"
209Nm@2000rpm,93PS@4000RPM,20.5 km/litre,"Rs. 7,96,132"
209Nm@2000rpm,93PS@4000RPM,20.5 km/litre,"Rs. 7,11,801"
209Nm@2000rpm,93PS@4000RPM,20.5 km/litre,"Rs. 8,76,341"
110Nm@4800rpm,90PS@6000rpm,18.2 km/litre,"Rs. 7,45,000"
110Nm@4800rpm,90PS@6000rpm,19 km/litre,"Rs. 9,09,000"
110Nm@4800rpm,90PS@6000rpm,18.2 km/litre,"Rs. 7,89,000"
110Nm@4800rpm,90PS@6000rpm,19 km/litre,"Rs. 8,65,000"
200Nm@1750rpm,100PS@3600rpm,27.3 km/litre,"Rs. 8,16,500"
200Nm@1750rpm,100PS@3600rpm,27.3 km/litre,"Rs. 8,96,500"
200Nm@1750rpm,100PS@3600rpm,27.3 km/litre,"Rs. 9,40,500"
110 Nm@4800rpm,89 bhp@6000rpm,18.2 km/litre,"Rs. 9,28,000"
350Nm@1750-2500rpm,173PS@3750rpm,16.3 km/litre,"Rs. 26,80,000"
350Nm@1750-2500rpm,173PS@3750rpm,16.3 km/litre,"Rs. 27,60,000"
380Nm@1800-2800rpm,177PS@3600rpm,13.8 km/litre,"Rs. 27,34,834"
380Nm@1800-2800rpm,177PS@3600rpm,13.8 km/litre,"Rs. 29,31,534"
420Nm@1600-2600rpm,178bhp@400rpm,12.35 km/litre,"Rs. 27,70,150"
420Nm @1600-2600,178Bhp @ 4000,12.05 km/litre,"Rs. 30,70,150"
340Nm@1750-2750rpm,141PS@4000rpm,17.06 km/litre,"Rs. 28,14,500"
340Nm@1750-2750rpm,141PS@4000rpm,17.06 km/litre,"Rs. 31,53,500"
189NM@4300rpm,154PS@6500rpm,14.4 km/litre,"Rs. 28,27,001"
300NM@2000rpm,120PS@4000RPM,19.5 km/litre,"Rs. 30,67,001"
300NM@2000rpm,120PS@4000RPM,18.3 km/litre,"Rs. 32,77,001"
250NM@1250-5000rpm,180PS@6200RPM,13.7 km/litre,"Rs. 28,99,599"
350Nm@1500-3500rpm,177PS@4000RPM,18.19 km/litre,"Rs. 31,49,599"
320Nm@1750-3000rpm,143PS@4000rpm,20.38 km/litre,"Rs. 30,21,200"
320Nm@1750-3000rpm,143PS@4000rpm,20.38 km/litre,"Rs. 32,21,200"
250NM@1250-5000rpm,150PS@6000RPM,19.2 km/litre,"Rs. 29,20,750"
250NM@1250-5000rpm,150PS@6000RPM,19.2 km/litre,"Rs. 31,20,750"
200Nm@1250-4000rpm,122PS@5000rpm,14.81 km/litre,"Rs. 29,88,311"
300Nm@1600-3000rpm,136PS@4400RPM,15 km/litre,"Rs. 30,89,851"
200Nm@1250-4000rpm,122PS@5000rpm,14.81 km/litre,"Rs. 31,98,662"
300Nm@1600-3000rpm,136PS@4400RPM,15 km/litre,"Rs. 33,03,282"
300Nm@1200-4000rpm,183PS@5500rpm,15.04 km/litre,"Rs. 35,99,000"
300Nm@1600-3000rpm,136PS@4400RPM,17.9 km/litre,"Rs. 31,72,000"
300Nm@1600-3000rpm,136PS@4400RPM,17.9 km/litre,"Rs. 36,99,000"
350Nm@1500-3500rpm,177PS@4000RPM,18.19 km/litre,"Rs. 32,99,599"
340Nm@1500-3500rpm,148bhp@4000RPM,18.19 km/litre,"Rs. 36,78,599"
350Nm@1500-3500rpm,177PS@4000RPM,18.19 km/litre,"Rs. 32,99,599"
340NM@2750-5000rpm,250PS@5500RPM,10 km/litre,"Rs. 34,07,407"
340Nm@1750-2750rpm,148hp@3500-4000rpm,15.73 km/litre,"Rs. 36,77,200"
380Nm@1750-2500rpm,177PS@4200rpm,15.73 km/litre,"Rs. 39,92,200"
380Nm@1750-2500rpm,177PS@4200rpm,15.73 km/litre,"Rs. 43,61,000"
250Nm@1750-2500rpm,150PS@4200rpm,16.9 km/litre,"Rs. 34,96,750"
270Nm@1750-2250rpm,116PS@4000rpm,21.15 km/litre,"Rs. 36,00,000"
280NM@1250-4600rpm,192PS@5000-6000rpm,14.59 km/litre,"Rs. 38,30,000"
400Nm,190bhp,,"Rs. 39,90,000"
400Nm,190bhp,,"Rs. 43,90,000"
300Nm@1750rpm,190PS@4000rpm,,"Rs. 39,90,000"
280NM@1250rpm,192PS@6200RPM,13.8 km/litre,"Rs. 41,20,000"
250Nm@1500-3500,150PS@5000-6000rpm,,"Rs. 41,49,000"
250Nm@1500-3500,150PS@5000-6000rpm,,"Rs. 45,07,000"
320 Nm@1450-4800rpm,231hp@5200-6200rpm,16.47 km/litre,"Rs. 43,50,000"
365Nm@1500-4000rpm,250PS@5500RPM,11 km/litre,"Rs. 44,98,000"
430NM@1750-2500rpm,180PS@4000rpm,11 km/litre,"Rs. 44,98,000"
430NM@1750-2500rpm,180PS@4000rpm,11 km/litre,"Rs. 46,33,000"
365Nm@1500-4000rpm,250PS@5500RPM,11 km/litre,"Rs. 46,33,000"
340Nm@1750-2000RPM,247PS@5500rpm,13.12 km/litre,"Rs. 54,36,329"
340Nm@1750-2000RPM,247PS@5500rpm,13.12 km/litre,"Rs. 60,73,446"
430Nm@1750-2000rpm,180ps@5500rpm,19.33 km/litre,"Rs. 61,38,811"
430Nm@1750-2000rpm,180ps@5500rpm,19.33 km/litre,"Rs. 55,06,622"
430Nm@1750-2000rpm,180ps@5500rpm,19.33 km/litre,"Rs. 49,77,080"
250 Nm @ 1250 RPM,148 bhp @ 5100 rpm,19.2 km/litre,"Rs. 50,38,000"
370Nm@1600-4500rpm,245PS@5000-6500rpm,14.11 km/litre,"Rs. 54,42,200"
370Nm@1600-4500rpm,245PS@5000-6500rpm,14.11 km/litre,"Rs. 59,42,200"
400Nm@1750-2500rpm,190PS@4000rpm,18.56 km/litre,"Rs. 59,30,000"
350 Nm @ 1450 rpm,248 bhp @ 5200 rpm,18.56 km/litre,"Rs. 58,80,000"
400Nm@1750-2500rpm,190PS@4000rpm,18.56 km/litre,"Rs. 56,00,000"
430NM@1750rpm,179PS@4000rpm,,"Rs. 57,06,000"
430NM@1750rpm,179PS@4000rpm,,"Rs. 60,89,000"
400NM@1750rpm,190PS@4250rpm,,"Rs. 58,90,000"
500Nm@1370-4500rpm,333PS@5400-6400RPM,13.57 km/litre,"Rs. 72,43,000"
